episode_id,policy_id,agent_id,metric,value,created_at
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack.failed,24.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack.failed.activity_rate,0.39655173,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack.failed.avg,1.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack.failed.first_step,29.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack.failed.last_step,87.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack.failed.max,24.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack.failed.min,1.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack.failed.rate,0.24,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack.failed.updates,24.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack_nearest.failed,3.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack_nearest.failed.activity_rate,0.05,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack_nearest.failed.avg,1.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack_nearest.failed.first_step,41.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack_nearest.failed.last_step,81.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack_nearest.failed.max,3.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack_nearest.failed.min,1.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack_nearest.failed.rate,0.03,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.attack_nearest.failed.updates,3.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.change_color.success,14.0,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.change_color.success.activity_rate,0.21666667,2025-07-03T11:51:27.474342
0fc0a4e8-32bf-446e-b2b0-0b9ff89a4d92,2b328cea-2e10-447e-9365-c3aadb591fb4,0,action.change_color.success.avg,1.0,2025-07-03T11:51:27.474342
