trainer.batch_size,trainer.bptt_horizon,trainer.minibatch_size,trainer.optimizer.beta1,trainer.optimizer.beta2,trainer.optimizer.eps,trainer.optimizer.learning_rate,trainer.ppo.clip_coef,trainer.ppo.ent_coef,trainer.ppo.gae_lambda,trainer.ppo.gamma,trainer.ppo.vf_clip_coef,trainer.ppo.vf_coef,trainer.total_timesteps,trainer.update_epochs,score,cost,time
524288,16,8192,0.09999999999999998,0.9962299840507006,1.000000000000002e-06,1e-05,0.2583776274333509,0.008637265553010035,0.990965575477494,0.9732706632927997,7.540051760918508,0.3072314785249235,824095245,3,0.015857143061501638,107.01298785209656,107.01298785209656
262144,16,16384,0.1427936017537974,0.9938526218859044,1.0911715610339476e-07,4.707003731115885e-05,0.1695793002182061,0.005801681860267466,0.9682180898717552,0.9817556223016562,11.249969870893771,0.5471108115449898,554284783,3,0.039642857653754096,106.10273361206056,106.10273361206056
524288,16,4096,0.09999999999999998,0.9962076094389836,1.2510699387243042e-07,0.0003397131349923435,0.13891127059296082,0.00197268504782184,0.9250212049845636,0.967430990275291,20.80357545842894,0.5402426968110313,68787139,4,0.015857143061501638,105.70856022834778,105.70856022834778
262144,16,16384,0.6548588448724093,0.9924207820797444,9.346309436079092e-08,0.000460305195248722,0.05000000000000005,0.0026449124179877747,0.9776593116630524,0.9357566605703672,43.8134429273007,0.5279155371799924,934358567,3,0.0,105.93319392204285,105.93319392204285
262144,16,16384,0.45908107464726966,0.997387302019668,1.000000000000002e-06,0.0008910160466595767,0.0792385679331099,0.002751064803589515,0.844730732542775,0.9101990550871756,9.31181193612606,0.5708579231364257,706792072,3,0.0,106.95784211158752,106.95784211158752
262144,16,8192,0.11643259270245854,0.9948935668888608,6.328881709558198e-08,0.00034825124656011607,0.05000000000000005,0.005915415643264223,0.9836460474546528,0.948728004922118,18.299694316629495,0.4942153778263082,829267194,4,0.007928571530750819,105.68431186676024,105.68431186676024
262144,16,8192,0.09999999999999998,0.99355375858972,1.000000000000002e-06,0.00028028865587682714,0.05000000000000005,0.0017540622657984833,0.8982398854723735,0.9647295514492146,7.868662703069079,0.5179634436351863,358112934,4,0.015857143061501638,105.01505041122437,105.01505041122437
262144,16,8192,0.6085610097778971,0.999,4.775070975128525e-07,0.001422827506067671,0.14577812586595118,0.003963661683624491,0.978161567787692,0.9250859101524896,10.887264541357476,0.4747794377031185,594037401,3,0.0,105.27728247642516,105.27728247642516
262144,16,16384,0.28844893016601625,0.9966720645037862,3.5461796723904835e-08,0.0004670966519756712,0.1551747215919601,0.002532536236047471,0.9445179086588368,0.9792019426117315,40.70011808197616,0.4897714253881512,323402023,3,0.007928571530750819,106.48656034469604,106.48656034469604
262144,16,16384,0.09999999999999998,0.9956626921080708,1.000000000000002e-06,0.0005902793270862906,0.10010964412263557,0.00211705746668703,0.9191500311493042,0.9280011299702317,29.9764683537846,0.5528886641968551,850944207,4,0.02378571459225246,105.32564663887024,105.32564663887024
262144,16,16384,0.8624914881790497,0.9962584340813306,8.35120307223704e-07,0.00016155178890736642,0.05000000000000005,0.01000000000000001,0.9639278167828236,0.954265171032598,23.3027909714514,0.5067083631469327,966828400,4,0.007928571530750819,87.24640083312988,87.24640083312988
262144,16,16384,0.8861245980494711,0.9953850131804224,1.000000000000002e-06,4.6997539976220066e-05,0.05000000000000005,0.01000000000000001,0.9379602683433984,0.97026713650887,34.25821757135335,0.47758728832606456,940710370,3,0.0,105.93978500366212,105.93978500366212
262144,16,4096,0.5900087406851485,0.999,5.10555823569747e-07,0.00016610697633888996,0.17905759121484863,0.004570769678992839,0.967256270559628,0.951091262594755,19.22093993997155,0.4708570163989093,579858402,4,0.0,86.93695449829102,86.93695449829102
262144,16,4096,0.6081172637675919,0.999,6.560983432613421e-07,0.00020482352964306023,0.1680095643632823,0.0019259852287255624,0.9887412194168312,0.9798354292464864,21.156750111572325,0.5133087208947487,443381231,5,0.015857143061501638,87.62461113929749,87.62461113929749
262144,16,8192,0.6523918565828859,0.999,1.000000000000002e-06,0.000537962328058816,0.14149248836627515,0.01000000000000001,0.9603007601401186,0.9428066780384486,34.713479561504464,0.6239759155199818,893685947,3,0.007928571530750819,103.1434841156006,103.1434841156006
262144,16,4096,0.3251427449047457,0.999,3.9215159793286356e-08,0.0005812745631953686,0.1842711672807417,0.001387531755881068,0.9519375629075176,0.9625515281645248,13.64050587361971,0.5294187591421453,243471930,4,0.007928571530750819,98.58115243911745,98.58115243911745
524288,16,16384,0.6966957257807385,0.9958100988951684,5.901735522822203e-07,4.2380849138266494e-05,0.13737837555984256,0.008328295217896473,0.9731847822782348,0.9608206609971636,26.864108209455388,0.5487528548075722,936912773,3,0.02378571459225246,87.15151286125183,87.15151286125183
524288,16,8192,0.9044971070678938,0.9987433716281984,1.000000000000002e-06,0.0010145695589044684,0.19317411823013653,0.003440119180343218,0.977251840238196,0.9214742046876584,16.939599041496365,0.5074642497070148,407135038,3,0.007928571530750819,97.64086079597472,97.64086079597472
