mission_name,difficulty,hyperparams,seed,success,total_reward,steps_taken,hearts_assembled,hearts_deposited,final_energy,final_carbon,final_oxygen,final_germanium,final_silicon,efficiency,error
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,hard,conservative,1,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,hard,conservative,2,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,hard,conservative,3,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,hard,aggressive,1,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,hard,aggressive,2,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,hard,aggressive,3,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,hard,patient,1,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,hard,patient,2,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,hard,patient,3,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,hard,impatient,1,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,hard,impatient,2,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesEasy'>,hard,impatient,3,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesEasy(n...on=None, energy_regen=1), input_type=CollectTheResourcesEasy]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesMedium'>,default,baseline,1,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesMedium...on=None, energy_regen=1), input_type=CollectTheResourcesMedium]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesMedium'>,default,baseline,2,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesMedium...on=None, energy_regen=1), input_type=CollectTheResourcesMedium]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesMedium'>,default,baseline,3,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesMedium...on=None, energy_regen=1), input_type=CollectTheResourcesMedium]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesMedium'>,default,conservative,1,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesMedium...on=None, energy_regen=1), input_type=CollectTheResourcesMedium]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesMedium'>,default,conservative,2,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesMedium...on=None, energy_regen=1), input_type=CollectTheResourcesMedium]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesMedium'>,default,conservative,3,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesMedium...on=None, energy_regen=1), input_type=CollectTheResourcesMedium]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
<class 'cogames.cogs_vs_clips.eval_missions.CollectTheResourcesMedium'>,default,aggressive,1,False,0,0,0,0,0,0,0,0,0,0,"1 validation error for MettaGridEnv.__init__
1
  Input should be a valid dictionary or instance of MettaGridConfig [type=model_type, input_value=CollectTheResourcesMedium...on=None, energy_regen=1), input_type=CollectTheResourcesMedium]
    For further information visit https://errors.pydantic.dev/2.12/v/model_type"
